,FileName,Caption
0,000000397133.jpg,A man is in a kitchen making pizzas.
1,000000397133.jpg,Man in apron standing on front of oven with pans and bakeware
2,000000397133.jpg,A baker is working in the kitchen rolling dough.
3,000000397133.jpg,A person standing by a stove in a kitchen.
4,000000397133.jpg,A table with pies being made and a person standing near a wall with pots and pans hanging on the wall.
5,000000037777.jpg,The dining table near the kitchen has a bowl of fruit on it.
6,000000037777.jpg,A small kitchen has various appliances and a table.
7,000000037777.jpg,The kitchen is clean and ready for us to see.
8,000000037777.jpg,A kitchen and dining area decorated in white.
9,000000037777.jpg,A kitchen that has a bowl of fruit on the table.
10,000000252219.jpg,a person with a shopping cart on a city street 
11,000000252219.jpg,City dwellers walk by as a homeless man begs for cash.
12,000000252219.jpg,People walking past a homeless man begging on a city street
13,000000252219.jpg,a homeless man holding a cup and standing next to a shopping cart on a street
14,000000252219.jpg,People are walking on the street by a homeless person.
15,000000087038.jpg,A person on a skateboard and bike at a skate park.
16,000000087038.jpg,A man on a skateboard performs a trick at the skate park
17,000000087038.jpg,A skateboarder jumps into the air as he performs a skateboard trick.
18,000000087038.jpg,Athletes performing tricks on a BMX bicycle and a skateboard.
19,000000087038.jpg,a man falls off his skateboard in a skate park.
20,000000174482.jpg,a blue bike parked on a side walk 
21,000000174482.jpg,A bicycle is chained to a fixture on a city street
22,000000174482.jpg,A blue bicycle sits on a sidewalk near a street.
23,000000174482.jpg,A bicycle is locked up to a post
24,000000174482.jpg,a bike sits parked next to a street 
25,000000403385.jpg,A bathroom that has a broken wall in the shower.
26,000000403385.jpg,A bathroom looks clean but is missing tile at the shower stall.
27,000000403385.jpg,A view of a bathroom that needs to be fixed up.
28,000000403385.jpg,a shower toilet and sink in a basement bathroom
29,000000403385.jpg,A very big whit rest room with a shabby looking shower.
30,000000006818.jpg,a couple of buckets in a white room
31,000000006818.jpg,A bathroom with no toilets and a red and green bucket. 
32,000000006818.jpg,"a shower room with two buckets, tolet paper holder and soap."
33,000000006818.jpg,A standing toilet in a bathroom next to a window.
34,000000006818.jpg,This picture looks like a janitors closet with buckets on the floor.
35,000000480985.jpg,The shiny motorcycle has been put on display.
36,000000480985.jpg,The new motorcycle on display is very shiny.
37,000000480985.jpg,A motorcycle is parked inside of a building.
38,000000480985.jpg,A brand new motorcycle on display at a show.
39,000000480985.jpg,The front end of a red motorcycle that is on display.
40,000000458054.jpg,A row of white toilets sitting on top of a dirt ground.
41,000000458054.jpg,A bunch of dirty looking white toilets in a row outside.
42,000000458054.jpg,There is a row of used and broken toilets in a field.
43,000000458054.jpg,A row of toilets with broken seat tops on the ground.
44,000000458054.jpg,LOTS OF BROKEN TOILETS SITTING OUT ON A LAWN
45,000000331352.jpg,A small closed toilet in a cramped space.
46,000000331352.jpg,A tan toilet and sink combination in a small room.
47,000000331352.jpg,This is an advanced toilet with a sink and control panel.
48,000000331352.jpg,A close-up picture of a toilet with a fountain.
49,000000331352.jpg,Off white toilet with a faucet and controls. 
50,000000296649.jpg,People are walking and riding motorcycles on the street
51,000000296649.jpg,A group of motorists pass very large buildings in asia. 
52,000000296649.jpg,A bunch of bikers are gathered on a city street. 
53,000000296649.jpg,"people ride their motorcycles beside some cars, passing by an empty street with stores and apartment buildings"
54,000000296649.jpg,A view of motorcyclists riding their bikes through heavy city traffic.
55,000000386912.jpg,a person sitting at a desk with a keyboard and monitor 
56,000000386912.jpg,a woman at her desk sits intently and happy
57,000000386912.jpg,A woman sitting at a desk in her work station
58,000000386912.jpg,The woman is working on her computer at the desk.
59,000000386912.jpg,a woman is sitting in front of a desk
60,000000502136.jpg,"A building wall and pair of doors that are open, along with vases of flowers on the outside of the building."
61,000000502136.jpg,a building with dirty walls and dirty doors
62,000000502136.jpg,a run down building with two planters outside the door
63,000000502136.jpg,a yellow and brown wall a gray door and a sign 
64,000000502136.jpg,A plaster external wall with multiple old paper images attached.
65,000000491497.jpg,A fluffy white chair that faces away fro a television.
66,000000491497.jpg,A pillow covered reading chair in the corner of the living room
67,000000491497.jpg,The living room is empty with the television on. 
68,000000491497.jpg,White ornate seat in nicely decorated room with television.
69,000000491497.jpg,"A white chair, books and shelves and a tv on in this room."
70,000000184791.jpg,A painting of a table with fruit on top of it.
71,000000184791.jpg,"Painting of oranges, a bowl, candle, and a pitcher"
72,000000184791.jpg,a painting of fruit and a candle with a vase
73,000000184791.jpg,"A painting of a candlestick holder with a candle, several pieces of fruit and a vase, with a gold frame around the painting."
74,000000184791.jpg,A painting that has a gold frame on it.
75,000000348881.jpg,A large jetliner sitting on top of an airport runway.
76,000000348881.jpg,Airline employees by an aircraft parked at the gate
77,000000348881.jpg,The plane is parked at the gate at the airport terminal.
78,000000348881.jpg,View from gate of jet connected to jet way for passengers to board or deplane
79,000000348881.jpg,A large white airplane and a person on a lot.
80,000000289393.jpg,Set of toy animals sitting in front of a red wooden wagon.
81,000000289393.jpg,"Several toy animals - a bull, giraffe, deer and parakeet."
