,FileName,Caption
0,000000117121.jpg,A group of young men  playing Frisbee by a house.
1,000000117121.jpg,A couple of young males playing a game of Frisbee.
2,000000117121.jpg,a couple of kids are jumping up in the air
3,000000117121.jpg,A group of men standing on top of a lush green field.
4,000000117121.jpg,Boys are playing Frisbee in a yard. 
5,000000041322.jpg,A cat wearing a sweater and glasses under a book shelf.
6,000000041322.jpg,a cat in a red shirt is wearing some glasses
7,000000041322.jpg,The cat under the table wears glasses and a sweater.
8,000000041322.jpg,A cat is sitting under a shelf wearing a pair of glasses. 
9,000000041322.jpg,A cat wearing a sweater and a pair of glasses
10,000000422669.jpg,A light green EMS vehicle is traveling down the street. 
11,000000422669.jpg,there is a ems truck that is yellow and blue
12,000000422669.jpg,A yellow ambulance sitting in front of a tall building.
13,000000422669.jpg,A ambulance that is sitting in the street.
14,000000422669.jpg,A yellow EMS truck stopped at a road. 
15,000000180869.jpg,A man passed out on a table next to boxes of donuts
16,000000180869.jpg,Young people eat donuts with computers in the background.
17,000000180869.jpg,Office workers have fun with donuts and sprinkles.
18,000000180869.jpg,A table full of donuts with people and computers in the background
19,000000180869.jpg,a group of people enjoying donuts in a class room
20,000000345294.jpg,A man balances sideways on a white skateboard.
21,000000345294.jpg,A skateboarder doing a trick on skate ramp.
22,000000345294.jpg,A skateboarder on a skateboard doing a trick.
23,000000345294.jpg,A fish eye shot of a skate boarder turning around
24,000000345294.jpg,"A man in a black shirt riding a white skateboard
"
25,000000459103.jpg,People are walking around outside a huge church.
26,000000459103.jpg,A bunch of people around a intersection by an old church.
27,000000459103.jpg,A group of people that are standing around a stop sign.
28,000000459103.jpg,A man with a hat is across the street from a church
29,000000459103.jpg,An old catholic church is across the street. 
30,000000410252.jpg,A family pet who has gotten its head stuck inside a article of clothing.
31,000000410252.jpg,a cat with his head stuck in a cloth tube looks at a toy mouse
32,000000410252.jpg,The cat has it's head stuck inside the boot.
33,000000410252.jpg,a close up of an animal with something over its head 
34,000000410252.jpg,a black cat with it's head stuck in a boot
35,000000557323.jpg,A man dressed in green kicks a soccer ball.
36,000000557323.jpg,a male soccer player in green fans and a ball
37,000000557323.jpg,A soccer player running and kicking a soccer ball during a match.
38,000000557323.jpg,A soccer player in a green uniform is trying to control the ball. 
39,000000557323.jpg,a soccer player getting ready to kick a soccer ball
40,000000339159.jpg,The pizza is cooked and ready to be eaten
